bins,N_F127,N_F139
2.1443465369280837e-14,49.0,91.0
2.206962586293931e-14,69.0,75.0
2.2714070573120935e-14,55.0,88.0
2.3377333408587525e-14,58.0,49.0
2.405996386851816e-14,62.0,82.0
2.4762527497757795e-14,46.0,60.0
2.5485606355358856e-14,52.0,58.0
2.6229799496805013e-14,55.0,67.0
2.6995723470315876e-14,52.0,55.0
2.7784012827644052e-14,47.0,55.0
2.8595320649788024e-14,38.0,51.0
2.9430319088055563e-14,38.0,68.0
3.0289699920927044e-14,46.0,61.0
3.117417512717915e-14,37.0,49.0
3.208447747574416e-14,57.0,67.0
3.302136113279366e-14,31.0,49.0
3.398560228654885e-14,40.0,40.0
3.497799979033626e-14,31.0,53.0
3.599937582442069e-14,39.0,47.0
3.705057657716406e-14,42.0,41.0
3.8132472946074807e-14,33.0,47.0
3.924596125932747e-14,22.0,41.0
4.039196401835195e-14,40.0,41.0
4.157143066210622e-14,29.0,34.0
4.278533835366627e-14,22.0,32.0
4.403469278978533e-14,28.0,35.0
4.532052903409177e-14,34.0,35.0
4.6643912374617656e-14,21.0,36.0
4.800593920636722e-14,26.0,37.0
4.9407737939656727e-14,18.0,41.0
5.0850469934978875e-14,30.0,25.0
5.23353304651647e-14,19.0,35.0
5.386354970564215e-14,28.0,29.0
5.543639375361021e-14,22.0,20.0
5.705516567697344e-14,15.0,32.0
5.872120659390654e-14,26.0,32.0
6.043589678394156e-14,11.0,19.0
6.220065683150073e-14,14.0,28.0
6.401694880282028e-14,9.0,27.0
6.588627745724124e-14,21.0,23.0
6.781019149387109e-14,20.0,21.0
6.979028483464727e-14,17.0,19.0
7.182819794486831e-14,23.0,25.0
7.392561919228423e-14,19.0,28.0
7.608428624587334e-14,17.0,13.0
7.830598751546467e-14,14.0,13.0
8.059256363339658e-14,11.0,18.0
8.29459089794423e-14,12.0,19.0
8.536797325026309e-14,10.0,15.0
8.786076307469047e-14,18.0,14.0
9.042634367617622e-14,7.0,16.0
9.306684058378516e-14,12.0,11.0
9.578444139315151e-14,5.0,18.0
9.858139757885539e-14,14.0,13.0
1.0146002635972132e-13,11.0,11.0
1.0442271261858581e-13,12.0,9.0
1.0747191087812105e-13,7.0,11.0
1.1061014733435482e-13,8.0,12.0
1.1384002194957117e-13,9.0,9.0
1.1716421060632373e-13,8.0,12.0
1.2058546732434745e-13,9.0,5.0
1.2410662654220518e-13,4.0,9.0
1.2773060546555964e-13,4.0,8.0
1.3146040648401728e-13,4.0,9.0
1.352991196585442e-13,6.0,9.0
1.3924992528151575e-13,7.0,8.0
1.433160965115211e-13,4.0,6.0
1.4750100208510513e-13,11.0,8.0
1.518081091076964e-13,7.0,4.0
1.5624098592603015e-13,3.0,6.0
1.608033050844475e-13,5.0,7.0
1.6549884636752027e-13,5.0,8.0
1.7033149993152162e-13,6.0,4.0
1.7530526952733945e-13,4.0,2.0
1.804242758174988e-13,5.0,6.0
1.8569275979004274e-13,6.0,4.0
1.9111508627210078e-13,6.0,4.0
1.9669574754605482e-13,4.0,7.0
2.0243936707130145e-13,7.0,8.0
2.0835070331468949e-13,3.0,5.0
2.1443465369280838e-13,3.0,4.0
2.2069625862939358e-13,3.0,9.0
2.271407057312098e-13,6.0,5.0
2.3377333408587526e-13,5.0,5.0
2.405996386851816e-13,3.0,4.0
2.476252749775779e-13,4.0,1.0
2.5485606355358903e-13,3.0,1.0
2.6229799496805067e-13,2.0,3.0
2.699572347031588e-13,1.0,2.0
2.778401282764405e-13,3.0,3.0
2.859532064978803e-13,1.0,5.0
2.943031908805563e-13,1.0,0.0
3.0289699920927106e-13,2.0,0.0
